firm,year,incentive_intensity,incentive_intensity_sq,incentive_mentioned,productivity_sentiment,productivity_mentioned,stress_sentiment,stress_mentioned,retention_sentiment,retention_mentioned,sales_role
ALDI,2021,-0.237920348602546,0.05660609227915701,0,1.0072159002729584,1,-0.14289557020964622,0,-0.4252061512683393,0,0
ALDI,2020,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,2.585185976044976,1,0
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,-0.4252061512683393,0,0
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-1.4505849407505258,1,-2.567539741250812,1,-0.4252061512683393,0,0
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,-0.4252061512683393,0,0
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,-0.4252061512683393,0,0
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,1,-0.14289557020964622,1,-1.6882475954532006,1,0
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,-0.4252061512683393,0,0
ALDI,2020,-0.237920348602546,0.05660609227915701,0,-1.353183055869946,1,-1.5630667085637127,1,-0.4252061512683393,0,1
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,-0.4252061512683393,0,0
ALDI,2021,5.8528245620991655,34.25555535471129,1,0.7289818274788431,1,-0.14289557020964622,0,-0.16981903892923167,1,1
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,-0.4252061512683393,0,0
ALDI,2021,3.6049118369730926,12.995389352348717,1,-1.1723508679564103,1,-1.3261972219383842,1,-0.4252061512683393,0,0
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,1,-0.14289557020964622,1,-0.4252061512683393,0,0
ALDI,2021,-0.237920348602546,0.05660609227915701,0,2.4486839588949825,1,-0.14289557020964622,0,-0.4252061512683393,0,0
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,-0.4252061512683393,0,1
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,-0.4252061512683393,0,1
ALDI,2020,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,-0.4252061512683393,0,0
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-3.0645022381775107,1,-3.804699134971622,1,-0.4252061512683393,0,0
ALDI,2020,3.6049118369730926,12.995389352348717,1,1.467080537086188,1,2.131156079533297,1,1.0134966357300792,1,1
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,-0.4252061512683393,0,0
ALDI,2020,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,-0.4252061512683393,0,0
ALDI,2021,-0.237920348602546,0.05660609227915701,0,-0.2689883044943111,0,-0.14289557020964622,0,2.522993259568613,1,0
